"number","created_by","created_at","state","closed_by","closed_at"
"1873","atodorov","2015-11-26 15:30:48","closed","justinmayer","2016-05-02 16:12:14"
"1872","Bouni","2015-11-26 07:44:20","closed","Bouni","2015-11-26 08:33:18"
"1871","Bouni","2015-11-25 15:53:05","closed","Bouni","2015-11-26 06:51:53"
"1870","tarekziade","2015-11-23 13:41:02","open","",""
"1869","hustlibraco","2015-11-21 08:56:30","closed","justinmayer","2016-03-29 18:33:53"
"1868","Psycojoker","2015-11-18 20:58:42","open","",""
"1867","ericmjl","2015-11-18 03:32:54","closed","ericmjl","2015-11-19 14:58:06"
"1866","amitsaha","2015-11-17 10:12:43","closed","justinmayer","2016-09-30 15:23:20"
"1865","amitsaha","2015-11-17 10:05:02","closed","amitsaha","2015-11-17 10:05:42"
"1864","icefoxen","2015-11-17 09:03:15","closed","justinmayer","2016-09-11 19:27:22"
"1863","fboxwala","2015-11-16 16:14:59","open","",""
"1862","kernc","2015-11-15 19:37:05","closed","justinmayer","2016-01-09 05:46:12"
"1861","yjacolin","2015-11-15 17:17:25","closed","justinmayer","2015-11-15 19:23:57"
"1860","HiPhish","2015-11-13 23:23:12","closed","HiPhish","2015-11-16 09:23:00"
"1859","HiPhish","2015-11-13 23:18:14","closed","justinmayer","2015-11-15 19:25:23"
"1858","meisterluk","2015-11-05 21:33:36","closed","justinmayer","2015-11-08 05:39:45"
"1857","HiPhish","2015-11-05 12:23:35","closed","HiPhish","2015-11-05 18:17:29"
"1856","ingwinlu","2015-11-03 15:54:21","closed","justinmayer","2015-11-03 16:08:07"
"1855","alexmorozov","2015-11-03 15:14:26","closed","alexmorozov","2015-11-04 11:55:02"
"1854","ingwinlu","2015-11-03 09:25:24","closed","justinmayer","2015-11-03 16:09:51"
"1853","horstjens","2015-10-31 05:57:01","closed","justinmayer","2016-03-29 18:35:57"
"1852","xenithorb","2015-10-29 15:38:42","closed","justinmayer","2015-11-09 17:38:21"
"1851","michellejunlee","2015-10-24 06:55:48","closed","justinmayer","2016-03-29 18:36:39"
"1850","ingwinlu","2015-10-20 08:33:55","closed","justinmayer","2015-11-03 15:22:13"
"1849","ingwinlu","2015-10-19 20:49:40","closed","justinmayer","2015-11-03 15:22:13"
"1848","ingwinlu","2015-10-19 16:36:18","closed","ingwinlu","2015-10-20 08:34:07"
"1847","ingwinlu","2015-10-19 14:56:57","closed","justinmayer","2015-11-03 15:22:13"
"1846","ingwinlu","2015-10-17 15:01:58","closed","justinmayer","2015-10-18 21:36:53"
"1845","Kokxer","2015-10-14 16:47:48","closed","Kokxer","2015-10-16 14:27:24"
"1844","ingwinlu","2015-10-13 10:33:11","closed","justinmayer","2015-10-23 17:42:21"
"1843","ingwinlu","2015-10-13 08:33:32","closed","ingwinlu","2015-10-20 08:34:22"
"1842","ingwinlu","2015-10-13 08:29:07","closed","justinmayer","2015-10-24 16:30:12"
"1841","ingwinlu","2015-10-12 18:07:43","open","",""
"1840","patdavid","2015-10-12 16:56:15","open","",""
"1839","moorepants","2015-10-07 18:10:02","closed","justinmayer","2016-09-30 12:31:31"
"1838","ofenerci","2015-10-05 17:49:48","closed","justinmayer","2016-03-29 18:40:58"
"1837","SimonStJG","2015-10-04 18:35:02","closed","justinmayer","2015-11-02 21:44:57"
"1836","leksak","2015-10-02 18:40:27","closed","leksak","2015-10-03 19:01:52"
"1835","realcr","2015-10-02 15:54:48","closed","justinmayer","2016-08-01 16:08:15"
"1834","tns-yuq","2015-10-02 11:37:42","closed","tns-yuq","2015-10-02 15:36:38"
"1833","JeremyMorgan","2015-10-01 05:33:39","open","",""
"1832","meisterluk","2015-10-01 00:47:52","closed","meisterluk","2015-11-05 21:34:30"
"1831","2-B","2015-09-29 09:28:03","closed","justinmayer","2015-09-29 11:06:25"
"1830","tjxiter","2015-09-26 10:46:34","closed","tjxiter","2015-09-26 12:55:03"
"1829","a3nm","2015-09-24 17:17:01","closed","justinmayer","2016-09-30 12:39:50"
"1828","andreacorbellini","2015-09-22 18:55:36","closed","justinmayer","2015-09-23 16:00:09"
"1827","TC01","2015-09-21 04:32:50","closed","justinmayer","2015-10-11 23:32:20"
"1826","lazycoder-ru","2015-09-20 21:20:34","open","",""
"1825","LeResKP","2015-09-17 06:58:19","closed","LeResKP","2016-03-01 08:13:12"
"1824","boudiccas","2015-09-15 15:41:29","open","",""
"1823","onur","2015-09-14 23:34:43","closed","justinmayer","2015-09-19 19:27:32"
"1822","aloisdg","2015-09-14 12:42:44","closed","justinmayer","2015-09-14 14:41:16"
"1821","22decembre","2015-09-13 14:15:14","closed","justinmayer","2016-09-11 19:29:46"
"1820","Florianboux","2015-09-12 22:37:39","closed","Florianboux","2015-09-13 08:37:23"
"1819","ingwinlu","2015-09-11 20:10:48","closed","justinmayer","2015-09-13 14:40:30"
"1818","HiPhish","2015-09-10 14:24:19","closed","justinmayer","2016-09-11 19:34:12"
"1817","supermensa","2015-09-08 19:33:33","closed","justinmayer","2016-08-01 18:51:22"
"1816","oseledets","2015-09-08 08:10:36","open","",""
"1815","schodge","2015-09-08 03:48:36","closed","justinmayer","2016-09-30 12:40:40"
"1814","ingwinlu","2015-09-05 08:57:32","closed","justinmayer","2015-09-05 14:36:20"
"1813","andreacorbellini","2015-09-04 14:52:42","closed","justinmayer","2015-09-23 15:58:55"
"1812","cadadr","2015-09-04 12:03:38","closed","cadadr","2015-09-05 14:01:19"
"1811","koobs","2015-09-04 06:30:00","closed","koobs","2015-09-04 09:03:02"
"1810","lemonsong","2015-09-01 12:50:34","closed","lemonsong","2015-09-02 00:31:10"
"1809","jsmm","2015-08-31 13:02:48","closed","justinmayer","2015-09-08 16:46:26"
"1808","justinmayer","2015-08-29 15:54:25","closed","justinmayer","2016-09-16 14:15:12"
"1807","fernandezcuesta","2015-08-26 09:50:21","closed","justinmayer","2015-08-27 16:16:46"
"1806","lionel-panhaleux","2015-08-21 11:42:59","open","",""
"1805","justinmayer","2015-08-20 16:49:03","closed","justinmayer","2016-08-20 14:24:57"
"1804","lionel-panhaleux","2015-08-19 17:17:05","closed","lionel-panhaleux","2015-08-21 11:40:19"
"1803","jvehent","2015-08-19 16:28:46","closed","justinmayer","2015-08-19 19:50:13"
"1802","andreacorbellini","2015-08-19 14:50:29","closed","justinmayer","2015-08-28 17:18:44"
"1801","Barakat","2015-08-19 05:14:12","closed","Barakat","2015-08-19 05:27:46"
"1800","kbotnen","2015-08-17 20:15:19","open","",""
"1799","kevinmickey","2015-08-13 21:13:55","closed","justinmayer","2016-08-20 14:24:01"
"1798","boite","2015-08-11 19:14:24","closed","kylef","2015-08-11 22:14:48"
"1797","TC01","2015-08-10 20:06:54","closed","justinmayer","2015-09-01 03:17:59"
"1796","marwinxxii","2015-08-09 13:12:41","closed","justinmayer","2016-09-11 19:35:08"
"1795","ingwinlu","2015-08-08 12:43:33","closed","justinmayer","2015-08-08 16:12:36"
"1794","ingwinlu","2015-08-08 11:38:17","closed","justinmayer","2015-08-08 16:12:36"
"1793","koobs","2015-08-07 04:46:17","closed","justinmayer","2015-10-10 21:50:01"
"1792","boite","2015-08-07 00:14:54","closed","kylef","2015-08-11 22:14:48"
"1791","rumpelsepp","2015-08-06 13:57:46","closed","justinmayer","2015-08-15 03:40:05"
"1790","treyhunner","2015-07-31 19:08:50","open","",""
"1789","J-Moravec","2015-07-30 19:29:40","closed","justinmayer","2015-07-30 23:40:17"
"1788","andreacorbellini","2015-07-29 09:43:10","closed","justinmayer","2015-08-15 15:21:28"
"1787","andreacorbellini","2015-07-28 19:17:58","closed","justinmayer","2015-09-02 01:14:19"
"1786","Cheekysoft","2015-07-28 11:58:42","closed","Cheekysoft","2015-07-29 15:45:00"
"1785","nkabir","2015-07-24 14:59:58","open","",""
"1784","mclearc","2015-07-24 13:29:06","closed","justinmayer","2015-07-25 19:13:44"
"1783","gnurenga","2015-07-21 07:29:04","closed","gnurenga","2015-08-28 06:00:12"
"1782","dimo414","2015-07-17 15:07:09","closed","dimo414","2015-07-17 23:06:24"
"1781","gnurenga","2015-07-14 07:17:23","open","",""
"1780","djc","2015-07-12 19:03:20","open","",""
"1779","KeWata","2015-07-12 05:21:44","closed","justinmayer","2015-08-25 17:51:34"
"1778","ionelmc","2015-07-09 21:49:35","closed","justinmayer","2015-07-10 18:34:44"
