"number","created_by","created_at","state","closed_by","closed_at"
"1734","mrocklin","2016-10-31 13:00:16","closed","pitrou","2016-10-31 13:26:34"
"1733","TomAugspurger","2016-10-31 12:48:48","closed","TomAugspurger","2016-11-02 21:04:46"
"1732","mrocklin","2016-10-31 12:38:12","open","",""
"1731","pitrou","2016-10-31 10:39:02","closed","mrocklin","2016-11-03 14:17:12"
"1730","mrocklin","2016-10-31 02:10:53","closed","pitrou","2016-10-31 13:26:34"
"1729","sinhrks","2016-10-30 08:55:55","closed","mrocklin","2016-10-30 22:07:33"
"1728","sinhrks","2016-10-30 08:19:13","closed","mrocklin","2016-11-03 16:30:44"
"1727","sinhrks","2016-10-30 00:47:26","closed","mrocklin","2016-10-30 22:06:48"
"1726","sinhrks","2016-10-29 12:27:31","closed","mrocklin","2016-10-31 13:49:49"
"1725","sinhrks","2016-10-29 12:23:02","closed","mrocklin","2016-10-30 22:06:27"
"1724","sinhrks","2016-10-29 12:19:56","closed","mrocklin","2016-10-30 22:06:22"
"1723","sinhrks","2016-10-29 12:17:37","open","",""
"1722","mrocklin","2016-10-28 20:41:12","closed","mrocklin","2016-10-30 22:05:54"
"1721","jcrist","2016-10-28 19:03:28","closed","mrocklin","2016-10-30 22:05:45"
"1720","axeltidemann","2016-10-28 11:51:38","closed","axeltidemann","2016-10-28 13:39:06"
"1719","birbbit","2016-10-28 01:01:03","closed","TomAugspurger","2016-11-02 21:35:38"
"1718","mrocklin","2016-10-27 23:21:30","closed","mrocklin","2016-11-08 14:15:46"
"1717","mrocklin","2016-10-27 20:39:10","closed","mrocklin","2016-10-28 20:37:51"
"1716","mrocklin","2016-10-27 19:14:36","closed","mrocklin","2016-10-31 15:41:59"
"1715","jcrist","2016-10-27 17:22:20","closed","jcrist","2016-10-28 15:53:23"
"1714","abast","2016-10-27 14:56:43","closed","jcrist","2016-10-28 15:53:23"
"1713","JamesJeffryes","2016-10-26 23:15:07","closed","JamesJeffryes","2016-10-26 23:15:13"
"1712","jcrist","2016-10-26 18:55:25","closed","jcrist","2016-10-28 15:52:33"
"1711","jcrist","2016-10-26 17:12:19","closed","jcrist","2016-10-26 18:06:55"
"1710","axeltidemann","2016-10-26 14:41:36","closed","jcrist","2016-10-28 16:12:36"
"1709","mrocklin","2016-10-26 11:00:45","closed","mrocklin","2016-10-26 18:02:05"
"1708","mrocklin","2016-10-25 20:50:20","closed","mrocklin","2016-10-25 21:36:27"
"1707","michaldul","2016-10-25 20:35:24","closed","michaldul","2016-10-25 21:38:10"
"1706","TomAugspurger","2016-10-25 20:10:21","closed","mrocklin","2016-10-30 22:04:40"
"1705","TomAugspurger","2016-10-25 18:59:28","closed","mrocklin","2016-10-30 22:04:40"
"1704","abast","2016-10-25 18:49:32","open","",""
"1703","rabernat","2016-10-25 17:16:53","closed","rabernat","2016-10-25 18:15:47"
"1702","mrocklin","2016-10-25 13:58:46","closed","mrocklin","2016-11-01 22:36:53"
"1701","TomAugspurger","2016-10-25 13:43:13","open","",""
"1700","abast","2016-10-25 13:22:26","closed","jcrist","2016-10-26 16:11:07"
"1699","mrocklin","2016-10-24 23:28:36","closed","mrocklin","2017-01-26 19:30:47"
"1698","chmp","2016-10-24 18:11:30","closed","jcrist","2016-11-07 18:26:32"
"1697","chmp","2016-10-24 17:36:49","closed","jcrist","2016-10-24 18:30:37"
"1696","jreback","2016-10-24 17:20:16","closed","jcrist","2016-10-26 18:06:55"
"1695","chmp","2016-10-24 17:05:18","closed","jcrist","2016-10-24 18:30:37"
"1694","mrocklin","2016-10-24 17:02:24","closed","jcrist","2016-10-28 15:52:33"
"1693","sinhrks","2016-10-23 13:03:03","closed","mrocklin","2016-10-23 13:54:43"
"1692","chmp","2016-10-23 10:12:50","closed","mrocklin","2016-11-07 17:16:50"
"1691","akcheung","2016-10-22 07:08:16","closed","jcrist","2016-11-30 22:43:16"
"1690","mrocklin","2016-10-21 16:07:37","closed","mrocklin","2016-10-24 11:48:37"
"1689","crusaderky","2016-10-21 07:50:32","closed","jcrist","2016-10-21 17:52:45"
"1688","mrocklin","2016-10-20 16:41:31","closed","mrocklin","2016-10-24 11:48:37"
"1687","jcrist","2016-10-20 16:04:54","closed","jcrist","2016-10-21 17:50:26"
"1686","mrocklin","2016-10-20 12:36:38","open","",""
"1685","mrocklin","2016-10-20 11:53:34","closed","mrocklin","2016-10-23 13:54:42"
"1684","crusaderky","2016-10-20 10:08:43","closed","jcrist","2016-10-21 17:50:26"
"1683","kaloramik","2016-10-20 07:58:33","open","",""
"1682","jcrist","2016-10-19 23:52:06","closed","jcrist","2016-10-23 17:09:35"
"1681","jcrist","2016-10-19 17:48:18","closed","mrocklin","2016-10-20 01:08:37"
"1680","bmaisonn","2016-10-19 17:05:46","closed","jcrist","2016-10-19 21:45:24"
"1679","jcrist","2016-10-19 15:55:20","closed","mrocklin","2016-10-20 01:09:35"
"1678","chmp","2016-10-18 22:13:00","closed","mrocklin","2016-10-26 12:44:25"
"1677","michaldul","2016-10-18 17:50:15","open","",""
"1676","mrocklin","2016-10-18 13:03:28","open","",""
"1675","mrocklin","2016-10-18 12:16:56","closed","mrocklin","2016-10-18 18:22:19"
"1674","sinhrks","2016-10-17 22:57:16","closed","mrocklin","2016-10-18 18:17:04"
"1673","evanbiederstedt","2016-10-17 22:37:13","closed","jcrist","2016-10-23 17:09:35"
"1672","jcrist","2016-10-17 22:03:09","open","",""
"1671","mrocklin","2016-10-17 14:46:12","closed","mrocklin","2016-10-18 18:22:19"
"1670","CJ-Wright","2016-10-17 01:23:34","closed","mrocklin","2016-10-17 02:42:14"
"1669","sinhrks","2016-10-16 09:46:02","closed","mrocklin","2016-11-03 16:30:34"
"1668","sinhrks","2016-10-16 03:29:00","closed","mrocklin","2016-10-18 12:05:28"
"1667","sinhrks","2016-10-16 03:01:41","closed","mrocklin","2016-10-17 12:05:55"
"1666","chmp","2016-10-15 15:52:34","closed","mrocklin","2016-10-17 12:05:12"
"1665","sinhrks","2016-10-15 07:29:18","closed","mrocklin","2016-10-17 12:04:49"
"1664","sinhrks","2016-10-15 06:13:24","closed","mrocklin","2016-10-18 12:05:16"
"1663","jcrist","2016-10-14 22:51:28","closed","jcrist","2016-10-18 19:28:52"
"1662","gbrener","2016-10-14 15:38:36","closed","jcrist","2017-01-30 16:29:22"
"1661","mrocklin","2016-10-14 15:17:38","closed","mrocklin","2016-10-14 16:30:36"
"1660","mrocklin","2016-10-14 14:37:53","closed","mrocklin","2016-10-14 17:43:50"
