"number","created_by","created_at","state","closed_by","closed_at"
"1731","adamchainz","2016-05-29 14:04:43","closed","bdarnell","2016-06-04 22:12:26"
"1730","ysimonson","2016-05-26 20:50:00","closed","bdarnell","2016-05-28 18:00:09"
"1729","dvolodin7","2016-05-25 22:18:20","closed","bdarnell","2016-05-28 17:01:38"
"1728","mivade","2016-05-25 17:58:15","closed","bdarnell","2016-06-04 22:13:31"
"1727","xiyanxiyan10","2016-05-25 09:29:52","closed","bdarnell","2016-05-28 17:29:56"
"1726","SnarkBoojum","2016-05-24 11:58:45","closed","bdarnell","2016-05-28 16:43:10"
"1725","LocutusOfBorg","2016-05-24 10:30:01","closed","bdarnell","2016-05-28 16:43:01"
"1724","eromoe","2016-05-24 05:48:00","closed","eromoe","2016-05-24 05:56:45"
"1723","lanzhiheng","2016-05-23 09:21:53","closed","lanzhiheng","2016-05-30 07:36:23"
"1722","bdarnell","2016-05-22 01:33:40","closed","bdarnell","2016-05-22 01:55:21"
"1721","jonathan-s","2016-05-17 16:41:38","closed","bdarnell","2016-06-12 19:09:17"
"1720","daftshady","2016-05-15 14:10:25","closed","bdarnell","2016-05-28 16:08:27"
"1719","rafaelcapucho","2016-05-12 05:20:03","closed","bdarnell","2016-05-21 21:54:49"
"1718","LaszloKatona","2016-05-10 11:26:27","closed","bdarnell","2016-05-28 16:08:27"
"1717","StudentForever","2016-05-09 17:10:30","closed","bdarnell","2016-05-13 01:23:37"
"1716","seirl","2016-05-09 11:09:14","open","",""
"1715","mayflaver","2016-05-08 14:53:27","closed","bdarnell","2016-05-21 23:10:03"
"1714","Maillol","2016-05-05 11:36:10","open","",""
"1713","likang","2016-05-05 08:40:30","closed","likang","2016-06-02 02:09:37"
"1712","yegorich","2016-05-04 07:36:43","closed","bdarnell","2016-05-21 23:44:54"
"1711","zjjott","2016-05-04 03:00:49","closed","bdarnell","2016-06-16 01:43:51"
"1710","zjjott","2016-05-04 02:23:31","closed","bdarnell","2016-05-21 23:50:59"
"1709","admirestator","2016-05-03 08:27:58","closed","admirestator","2016-05-27 09:21:40"
"1708","labrys","2016-05-03 08:26:48","open","",""
"1707","892768447","2016-05-02 15:42:47","closed","bdarnell","2016-05-04 10:47:23"
"1706","berislavlopac","2016-05-01 23:43:17","closed","bdarnell","2016-05-13 00:42:58"
"1705","Maillol","2016-04-30 20:44:57","closed","Maillol","2016-05-05 11:26:51"
"1704","thinkerou","2016-04-30 00:30:50","closed","bdarnell","2016-04-30 15:50:24"
"1703","vit1251","2016-04-28 20:15:04","closed","bdarnell","2016-05-22 01:55:27"
"1702","saintthor","2016-04-28 09:15:58","closed","saintthor","2016-04-29 04:07:05"
"1701","saintthor","2016-04-27 16:23:35","closed","saintthor","2016-04-29 02:48:39"
"1700","nojz","2016-04-25 15:09:53","open","",""
"1699","bdarnell","2016-04-23 23:40:24","closed","bdarnell","2016-04-24 00:11:54"
"1698","obsh","2016-04-21 16:30:27","open","",""
"1697","rsmith31415","2016-04-20 21:40:50","closed","rsmith31415","2016-04-23 18:31:32"
"1696","aie0","2016-04-20 12:29:43","closed","aie0","2016-04-20 13:57:03"
"1695","vit1251","2016-04-20 01:17:57","closed","vit1251","2016-04-21 10:24:05"
"1694","zakkie","2016-04-19 05:47:03","closed","bdarnell","2016-04-20 02:37:15"
"1693","jvhellemond","2016-04-18 15:29:34","closed","jvhellemond","2016-04-21 14:21:10"
"1692","BingLau7","2016-04-16 07:28:32","closed","bdarnell","2016-04-24 18:39:22"
"1691","mrocklin","2016-04-14 19:43:53","closed","bdarnell","2017-02-21 03:28:27"
"1690","takluyver","2016-04-14 14:10:45","closed","takluyver","2016-04-15 11:46:16"
"1689","harboecp","2016-04-13 10:19:51","closed","bdarnell","2016-04-24 18:39:10"
"1688","bdarnell","2016-04-10 16:07:01","open","",""
"1687","breerly","2016-04-08 22:43:45","open","",""
"1686","bluetech","2016-04-08 14:52:51","closed","bluetech","2016-04-09 19:51:48"
"1685","mrocklin","2016-04-07 03:02:54","closed","bdarnell","2017-02-21 03:28:09"
"1684","arthurdarcet","2016-04-06 10:57:18","open","",""
"1683","nickbaum","2016-04-05 22:05:27","closed","bdarnell","2016-04-06 17:58:51"
"1682","quicoder","2016-04-05 09:45:13","closed","bdarnell","2016-04-06 02:23:26"
"1681","season89","2016-04-03 08:59:01","closed","ajdavis","2016-04-03 13:13:05"
"1680","CaveSpectre","2016-04-01 16:42:47","closed","bdarnell","2016-04-02 01:46:38"
"1679","frtmelody","2016-04-01 03:34:07","closed","bdarnell","2016-04-01 13:11:45"
"1678","JZQT","2016-03-31 15:38:19","closed","bdarnell","2016-03-31 20:57:26"
"1677","CaselIT","2016-03-31 12:00:19","closed","bdarnell","2016-03-31 12:27:40"
"1676","JZQT","2016-03-29 11:57:55","closed","bdarnell","2016-03-31 20:57:41"
"1675","rsmith31415","2016-03-27 16:28:02","closed","bdarnell","2016-04-03 18:59:42"
"1674","splinterific","2016-03-25 14:08:21","closed","bdarnell","2016-03-25 16:13:36"
"1673","wil93","2016-03-25 12:13:29","closed","wil93","2016-03-25 14:13:05"
"1672","viyatb","2016-03-23 05:52:04","closed","bdarnell","2016-04-03 19:00:06"
"1671","szcountryboy","2016-03-22 03:15:33","closed","bdarnell","2016-03-22 13:14:12"
"1670","892768447","2016-03-21 16:08:12","closed","bdarnell","2016-04-24 00:11:54"
"1669","pstanisl","2016-03-21 14:02:24","closed","bdarnell","2016-03-22 13:11:37"
"1668","ghost","2016-03-21 11:06:47","closed","bdarnell","2016-03-22 13:11:54"
