"number","created_by","created_at","state","commits","merged_by","merged_at"
"1633","brianestlin","2016-04-06 01:31:50","closed","0","Tarrasch","2016-04-07 07:31:51"
"1632","smartkiwi","2016-04-05 16:29:59","closed","0","",""
"1631","bwall","2016-04-05 01:22:45","closed","1","Tarrasch","2016-04-05 02:48:17"
"1630","ChrisBeaumont","2016-04-03 22:51:04","closed","2","Tarrasch","2016-11-01 04:46:59"
"1628","drj42","2016-04-02 00:08:39","closed","0","erikbern","2016-04-02 02:23:20"
"1626","ulzha","2016-04-01 19:59:45","closed","1","ulzha","2016-04-01 20:56:58"
"1625","riga","2016-04-01 09:07:39","closed","17","Tarrasch","2016-04-07 07:25:38"
"1624","dlstadther","2016-03-31 20:09:13","closed","3","erikbern","2016-04-13 15:15:41"
"1623","joemeszaros","2016-03-31 16:10:48","closed","2","Tarrasch","2016-04-04 04:17:23"
"1621","riga","2016-03-31 13:05:00","closed","7","",""
"1620","brianestlin","2016-03-31 04:15:49","closed","0","Tarrasch","2016-03-31 10:18:46"
"1619","jpotts18","2016-03-30 23:33:43","closed","4","Tarrasch","2016-04-04 04:32:53"
"1616","PeteW","2016-03-30 18:22:22","closed","2","Tarrasch","2016-04-04 04:15:08"
"1614","dlstadther","2016-03-29 18:44:26","closed","4","erikbern","2016-04-04 22:47:10"
"1612","fabriziodemaria","2016-03-29 10:25:57","closed","16","ulzha","2016-04-20 13:09:45"
"1610","Tarrasch","2016-03-29 04:45:48","closed","1","Tarrasch","2016-03-29 10:23:04"
"1609","daveFNbuck","2016-03-25 20:43:03","closed","1","Tarrasch","2016-03-29 02:11:28"
"1606","Tarrasch","2016-03-24 10:13:54","closed","1","Tarrasch","2016-03-25 02:00:47"
"1603","Tarrasch","2016-03-22 03:51:47","closed","3","Tarrasch","2016-03-23 03:02:06"
"1602","dlstadther","2016-03-18 17:30:20","closed","1","erikbern","2016-03-21 02:26:25"
"1601","constantijn","2016-03-18 15:44:15","closed","2","Tarrasch","2016-03-22 02:08:28"
"1600","dlstadther","2016-03-17 14:08:31","closed","1","erikbern","2016-03-17 16:22:09"
"1598","tdyas","2016-03-16 16:02:03","open","2","",""
"1597","dlstadther","2016-03-16 14:33:30","closed","1","erikbern","2016-03-16 15:44:19"
"1596","Fsero","2016-03-15 21:55:13","closed","1","erikbern","2016-03-18 14:48:30"
"1595","jewer","2016-03-15 14:03:06","closed","1","erikbern","2016-03-15 16:11:06"
"1593","dlstadther","2016-03-14 14:50:32","closed","1","Tarrasch","2016-03-15 02:43:26"
"1592","Tarrasch","2016-03-14 03:07:25","closed","2","Tarrasch","2016-03-15 10:47:45"
"1589","Tarrasch","2016-03-11 09:15:09","closed","1","Tarrasch","2016-03-14 02:39:29"
"1588","oluies","2016-03-10 23:31:17","closed","1","Tarrasch","2016-03-11 08:44:29"
"1587","oluies","2016-03-10 10:42:10","closed","1","",""
"1586","dlstadther","2016-03-09 20:15:53","closed","1","",""
"1585","dlstadther","2016-03-09 14:17:44","closed","1","Tarrasch","2016-03-16 02:13:21"
