"number","created_by","created_at","state","closed_by","closed_at"
"1800","brcopeland","2016-08-01 19:27:30","closed","Tarrasch","2016-08-09 03:29:07"
"1799","brcopeland","2016-08-01 19:19:47","closed","Tarrasch","2016-08-08 02:39:25"
"1798","brcopeland","2016-08-01 19:03:27","closed","Tarrasch","2016-08-04 02:28:29"
"1797","brcopeland","2016-08-01 18:51:27","closed","Tarrasch","2016-08-02 03:15:28"
"1796","brcopeland","2016-08-01 18:41:55","closed","erikbern","2016-08-01 21:01:22"
"1795","brcopeland","2016-08-01 18:34:00","closed","Tarrasch","2016-08-02 03:22:52"
"1794","brcopeland","2016-08-01 18:22:24","closed","erikbern","2016-08-01 20:59:34"
"1793","jslovan","2016-08-01 09:26:51","open","",""
"1792","Tarrasch","2016-08-01 02:54:34","closed","Tarrasch","2016-08-24 07:06:44"
"1791","javrasya","2016-07-28 14:25:59","closed","Tarrasch","2016-08-02 03:40:43"
"1790","Tarrasch","2016-07-28 11:43:16","closed","Tarrasch","2016-07-29 02:44:27"
"1789","javrasya","2016-07-28 06:46:00","closed","Tarrasch","2016-07-28 11:31:36"
"1788","daveFNbuck","2016-07-27 17:56:59","closed","daveFNbuck","2016-07-27 20:31:52"
"1787","ulzha","2016-07-27 09:37:43","open","",""
"1786","Tarrasch","2016-07-27 03:51:35","closed","Tarrasch","2016-07-28 02:10:19"
"1785","daveFNbuck","2016-07-27 00:19:12","closed","Tarrasch","2016-07-27 02:23:17"
"1784","daveFNbuck","2016-07-27 00:05:05","closed","Tarrasch","2016-08-12 02:40:56"
"1783","Tarrasch","2016-07-26 03:36:25","closed","erikbern","2016-07-26 03:38:09"
"1782","javrasya","2016-07-22 20:48:39","closed","javrasya","2016-07-28 06:57:46"
"1781","Tarrasch","2016-07-22 11:12:25","closed","Tarrasch","2016-07-25 03:30:24"
"1780","hevy-CC4477","2016-07-21 11:38:04","closed","Tarrasch","2016-07-28 02:17:23"
"1779","Lucas-C","2016-07-21 08:47:16","closed","Tarrasch","2016-07-28 02:29:15"
"1778","Tarrasch","2016-07-21 02:56:27","closed","Tarrasch","2016-07-22 10:19:27"
"1777","Tarrasch","2016-07-20 08:26:37","closed","Tarrasch","2016-07-20 09:24:25"
"1776","nugend","2016-07-19 22:12:36","open","",""
"1775","Lucas-C","2016-07-19 14:17:42","closed","Tarrasch","2016-07-28 02:29:18"
"1774","Tarrasch","2016-07-19 03:24:15","closed","Tarrasch","2016-07-20 08:27:15"
"1773","daveFNbuck","2016-07-18 20:47:04","closed","Tarrasch","2016-07-29 02:13:39"
"1772","Tarrasch","2016-07-18 09:38:46","closed","Tarrasch","2016-07-20 10:02:25"
"1771","fabriziodemaria","2016-07-18 09:08:50","closed","Tarrasch","2016-07-20 08:33:23"
"1770","walterhan","2016-07-17 21:54:18","open","",""
"1769","Jyrsa","2016-07-15 08:08:30","open","",""
"1768","Jyrsa","2016-07-15 07:55:20","open","",""
"1767","Talmaj","2016-07-14 23:14:26","open","",""
"1766","Talmaj","2016-07-14 23:08:27","open","",""
"1765","alextmeyer","2016-07-14 20:47:52","closed","Tarrasch","2016-08-30 03:27:39"
"1764","jpiper","2016-07-14 08:19:31","open","",""
"1763","brianbsquared","2016-07-13 14:07:36","closed","dlstadther","2017-02-01 11:59:40"
"1762","darabos","2016-07-13 13:59:28","closed","Tarrasch","2016-07-14 02:48:22"
"1761","Tarrasch","2016-07-13 08:27:46","closed","Tarrasch","2016-07-13 10:27:10"
"1760","Tarrasch","2016-07-13 03:34:30","closed","Tarrasch","2016-07-13 04:44:15"
"1759","dlstadther","2016-07-12 16:58:09","closed","Tarrasch","2016-07-13 02:52:02"
"1758","TKNGUE","2016-07-12 05:53:39","open","",""
"1757","Tarrasch","2016-07-11 07:58:19","closed","Tarrasch","2016-07-12 10:16:07"
"1756","Tarrasch","2016-07-11 07:57:43","closed","Tarrasch","2016-07-14 07:57:13"
"1755","Tarrasch","2016-07-08 11:18:10","closed","Tarrasch","2016-07-18 09:34:50"
"1754","Tarrasch","2016-07-08 11:06:02","closed","Tarrasch","2016-07-14 04:41:55"
"1753","soymo","2016-07-08 09:17:46","closed","soymo","2017-02-13 17:12:52"
"1752","jnthm","2016-07-07 23:31:53","closed","jnthm","2016-08-22 06:18:36"
"1751","dlstadther","2016-07-06 19:30:14","closed","dlstadther","2016-07-21 12:38:42"
"1750","proycon","2016-07-06 13:10:34","open","",""
"1749","sguermond","2016-07-06 03:08:27","closed","Tarrasch","2016-07-06 04:41:03"
"1748","saillsha","2016-07-05 17:07:58","open","",""
"1747","sbourke","2016-07-02 11:50:53","open","",""
"1746","pmlandwehr","2016-07-01 17:22:51","open","",""
"1745","dlstadther","2016-07-01 12:43:06","closed","dlstadther","2016-07-18 14:32:42"
"1744","daveFNbuck","2016-07-01 01:05:44","closed","erikbern","2016-07-01 14:54:37"
"1743","marcpare","2016-07-01 00:08:21","closed","erikbern","2016-07-01 14:54:25"
"1742","gte620v","2016-06-30 19:56:50","closed","Tarrasch","2016-07-05 02:15:12"
"1741","dlstadther","2016-06-30 17:10:58","closed","dlstadther","2016-07-01 12:40:05"
"1740","daveFNbuck","2016-06-29 22:21:03","closed","erikbern","2016-07-01 14:54:37"
"1739","rocketmonkeys","2016-06-28 18:54:57","open","",""
"1738","skogsbaeck","2016-06-28 14:16:40","closed","ulzha","2016-10-21 14:11:13"
"1737","riga","2016-06-28 12:38:01","closed","erikbern","2016-06-28 14:11:03"
"1736","riga","2016-06-28 12:35:41","closed","erikbern","2016-06-28 14:11:29"
"1735","dlstadther","2016-06-27 14:35:18","closed","erikbern","2016-06-28 14:12:02"
"1734","daveFNbuck","2016-06-25 00:25:36","closed","Tarrasch","2016-06-28 03:07:50"
"1733","dmyersturnbull","2016-06-24 01:13:57","open","",""
